,Churn,Male,Nonbinary,Techie,Contract_Monthly,Contract_One_Year,Contract_Two_Year,Internet_DSL,Internet_Fiber_Optic,Internet_None,TechSupport,Responses,Fixes,Replacements,Reliability,Population,Children,Age,Income,Email,Outage_sec_perweek,Yearly_equip_failure,MonthlyCharge
0,0,1,0,0,0,1,0,0,1,0,0,5,5,5,3,-0.6734047863312665,-0.9723379092716081,0.7209252390349075,-0.39877774033771896,-0.6662817809861953,-0.6799776032108321,0.9466579047036832,-0.003942558795863967
1,1,0,0,1,1,0,0,0,1,0,0,3,4,3,3,0.047771528401848895,-0.5065919164222484,-1.2599571596643748,-0.6419544475336846,-0.0052879506427475865,0.5703310909326953,0.9466579047036832,1.6303258974820913
2,0,0,0,1,0,0,1,1,0,0,0,4,4,2,4,-0.41723752695690763,0.8906460621258305,-0.14873044819892378,-1.07088496294323,-0.9967786961579193,0.25234705329419904,0.9466579047036832,-0.29522481741427764
3,0,1,0,1,0,0,1,1,0,0,0,4,4,4,2,0.2845374265036029,-0.5065919164222484,-0.2453588578915717,-0.740524915554176,0.986202794872424,1.6505058518829352,-0.6258635316811727,-1.2265210716378776
4,1,1,0,0,1,0,0,0,1,0,1,4,4,4,3,0.11054879023392063,-0.9723379092716081,1.4456383117297669,0.009477921370873651,1.316699710044148,-0.623156047089417,0.9466579047036832,-0.5280857047971815
5,0,0,0,0,0,1,0,0,0,1,0,3,3,3,2,0.5504746570902379,0.4249000692764709,1.4456383117297669,-0.6080721568450029,0.986202794872424,-0.5312245011031589,0.9466579047036832,0.2883698820424217
6,1,1,0,1,1,0,0,1,0,0,1,6,5,6,4,-0.5003862181252146,-0.9723379092716081,1.2523814923444712,-1.00499743131954,-0.6662817809861953,0.3968171392224275,0.9466579047036832,0.6402676647225805
7,1,0,0,1,1,0,0,1,0,0,0,2,2,2,5,0.9276232621144834,-0.04084592357288879,-1.115014545125403,-0.4626942456000044,1.316699710044148,-0.7427124195663637,-0.6258635316811727,-1.3430982633741453
8,0,0,1,0,1,0,0,1,0,0,0,5,4,4,3,0.5262229554994817,-0.04084592357288879,-0.19704465304524774,0.6676801523191915,2.638687370731043,-1.432469057306725,4.0917007774733944,-1.2844669060845046
9,0,0,0,0,0,0,1,0,1,0,0,2,2,2,2,0.723146772416422,-0.5065919164222484,1.5905809262687387,0.3696817477171092,1.9776935403875957,-0.4348389167038134,-0.6258635316811727,-0.23618767028397689
